date,hour,timestamp,country,price
2022/01/15,16:00 - 17:00,2022-01-15 16:00:00,belgium,226.32
2022/01/15,17:00 - 18:00,2022-01-15 17:00:00,belgium,260.0
2022/01/15,18:00 - 19:00,2022-01-15 18:00:00,belgium,267.03
2022/01/15,19:00 - 20:00,2022-01-15 19:00:00,belgium,261.41
2022/01/15,20:00 - 21:00,2022-01-15 20:00:00,belgium,243.62
2022/01/15,21:00 - 22:00,2022-01-15 21:00:00,belgium,224.3
2022/01/15,22:00 - 23:00,2022-01-15 22:00:00,belgium,218.07
2022/01/15,23:00 - 00:00,2022-01-15 23:00:00,belgium,213.42
2022/01/16,00:00 - 01:00,2022-01-16 00:00:00,belgium,225.92
2022/01/16,01:00 - 02:00,2022-01-16 01:00:00,belgium,216.0
2022/01/16,02:00 - 03:00,2022-01-16 02:00:00,belgium,172.2
2022/01/16,03:00 - 04:00,2022-01-16 03:00:00,belgium,190.04
2022/01/16,04:00 - 05:00,2022-01-16 04:00:00,belgium,163.83
